,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,params,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_train_Accuracy,split1_train_Accuracy,split2_train_Accuracy,split3_train_Accuracy,split4_train_Accuracy,mean_train_Accuracy,std_train_Accuracy,split0_test_tp,split1_test_tp,split2_test_tp,split3_test_tp,split4_test_tp,mean_test_tp,std_test_tp,rank_test_tp,split0_train_tp,split1_train_tp,split2_train_tp,split3_train_tp,split4_train_tp,mean_train_tp,std_train_tp,split0_test_tn,split1_test_tn,split2_test_tn,split3_test_tn,split4_test_tn,mean_test_tn,std_test_tn,rank_test_tn,split0_train_tn,split1_train_tn,split2_train_tn,split3_train_tn,split4_train_tn,mean_train_tn,std_train_tn,split0_test_fp,split1_test_fp,split2_test_fp,split3_test_fp,split4_test_fp,mean_test_fp,std_test_fp,rank_test_fp,split0_train_fp,split1_train_fp,split2_train_fp,split3_train_fp,split4_train_fp,mean_train_fp,std_train_fp,split0_test_fn,split1_test_fn,split2_test_fn,split3_test_fn,split4_test_fn,mean_test_fn,std_test_fn,rank_test_fn,split0_train_fn,split1_train_fn,split2_train_fn,split3_train_fn,split4_train_fn,mean_train_fn,std_train_fn,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_train_balanced_accuracy,split1_train_balanced_accuracy,split2_train_balanced_accuracy,split3_train_balanced_accuracy,split4_train_balanced_accuracy,mean_train_balanced_accuracy,std_train_balanced_accuracy
0,5.226786804199219,0.7426119862630657,0.1087214469909668,0.012468575764667046,0.0001,{'C': 0.0001},0.65,0.675,0.6125,0.7468354430379747,0.6708860759493671,0.6710443037974685,0.043886826235951165,9,0.7012578616352201,0.7012578616352201,0.7169811320754716,0.799373040752351,0.6739811912225705,0.7185702174641666,0.042706528853523065,3.0,3.0,3.0,4.0,5.0,3.6,0.8,2,23.0,22.0,22.0,19.0,25.0,22.2,1.9390719429665317,49.0,51.0,46.0,55.0,48.0,49.8,3.0594117081556713,9,200.0,201.0,206.0,236.0,190.0,206.6,15.589740215924062,24.0,22.0,27.0,17.0,24.0,22.8,3.3105890714493698,1,90.0,89.0,84.0,55.0,101.0,83.8,15.43243337908834,4.0,4.0,4.0,3.0,2.0,3.4,0.8,8,5.0,6.0,6.0,9.0,3.0,5.8,1.9390719429665317,0.5499021526418787,0.5636007827788649,0.5293542074363992,0.6676587301587301,0.6904761904761905,0.6001984126984127,0.065709928173678,9,0.7555418719211823,0.7394088669950739,0.7480295566502463,0.7447839960726559,0.7728890525282278,0.7521306688334772,0.011620531519114753
1,4.148916149139405,1.1691734896193229,0.08706107139587402,0.0059725321784039895,0.001,{'C': 0.001},0.7625,0.7625,0.675,0.8227848101265823,0.7341772151898734,0.7513924050632912,0.04790781803632641,8,0.8459119496855346,0.7861635220125787,0.8113207547169812,0.8432601880877743,0.8213166144200627,0.8215946057845862,0.022007824350218284,3.0,3.0,3.0,6.0,4.0,3.8,1.16619037896906,1,27.0,28.0,28.0,26.0,28.0,27.4,0.7999999999999999,58.0,58.0,51.0,59.0,54.0,56.0,3.03315017762062,8,242.0,222.0,230.0,243.0,234.0,234.2,7.807688518377254,15.0,15.0,22.0,13.0,18.0,16.6,3.1368774282716245,2,48.0,68.0,60.0,48.0,57.0,56.2,7.6,4.0,4.0,4.0,1.0,3.0,3.2,1.16619037896906,9,1.0,0.0,0.0,2.0,0.0,0.6,0.7999999999999999,0.611545988258317,0.611545988258317,0.5636007827788649,0.8382936507936507,0.6607142857142857,0.657140139160687,0.09564165795915774,1,0.899384236453202,0.8827586206896552,0.896551724137931,0.8818114874815906,0.9020618556701031,0.8925135848864963,0.008536698564057131
2,4.717565488815308,0.5646146401727387,0.1016357421875,0.018064192760481608,0.01,{'C': 0.01},0.8375,0.85,0.7375,0.8734177215189873,0.759493670886076,0.8115822784810127,0.05324035810786109,7,0.9182389937106918,0.889937106918239,0.9150943396226415,0.9059561128526645,0.9122257053291536,0.9082904516866781,0.010030423746387854,2.0,2.0,3.0,5.0,3.0,3.0,1.0954451150103321,3,28.0,28.0,28.0,28.0,28.0,28.0,0.0,65.0,66.0,56.0,64.0,57.0,61.6,4.223742416388575,7,264.0,255.0,263.0,261.0,263.0,261.2,3.2496153618543837,8.0,7.0,17.0,8.0,15.0,11.0,4.147288270665544,3,26.0,35.0,27.0,30.0,28.0,29.2,3.1874754901018454,5.0,5.0,4.0,2.0,4.0,4.0,1.0954451150103321,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5880626223091976,0.5949119373776908,0.5978473581213307,0.8015873015873016,0.6101190476190476,0.6385056534029137,0.08185283354958323,5,0.9551724137931035,0.9396551724137931,0.953448275862069,0.9484536082474226,0.9518900343642611,0.94972390093613,0.0054998605898975055
3,4.285997915267944,0.4618629624949259,0.09775547981262207,0.011064980291925045,0.1,{'C': 0.1},0.8625,0.85,0.7625,0.8860759493670886,0.7848101265822784,0.8291772151898733,0.047319661627511896,6,0.9339622641509434,0.9150943396226415,0.949685534591195,0.9184952978056427,0.9247648902821317,0.9284004652905107,0.012428761084941706,2.0,2.0,2.0,5.0,3.0,2.8,1.16619037896906,5,28.0,28.0,28.0,28.0,28.0,28.0,0.0,67.0,66.0,59.0,65.0,59.0,63.2,3.4871191548325386,6,269.0,263.0,274.0,265.0,267.0,267.6,3.7735924528226414,6.0,7.0,14.0,7.0,13.0,9.4,3.3823069050575527,4,21.0,27.0,16.0,26.0,24.0,22.8,3.9698866482558417,5.0,5.0,5.0,2.0,4.0,4.2,1.16619037896906,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.601761252446184,0.5949119373776908,0.5469667318982387,0.808531746031746,0.6240079365079365,0.6352359208523592,0.09021700221558035,8,0.9637931034482758,0.953448275862069,0.9724137931034482,0.9553264604810996,0.9587628865979381,0.9607489038985662,0.006811506707358293
4,5.101294803619385,0.5036115188554005,0.12727689743041992,0.025090310348572144,1,{'C': 1},0.8625,0.85,0.7625,0.8987341772151899,0.7974683544303798,0.8342405063291138,0.04838447191254701,4,0.9371069182389937,0.9150943396226415,0.9528301886792453,0.9247648902821317,0.9247648902821317,0.9309122454210288,0.012996586492199666,2.0,2.0,2.0,5.0,3.0,2.8,1.16619037896906,5,28.0,28.0,28.0,28.0,28.0,28.0,0.0,67.0,66.0,59.0,66.0,60.0,63.6,3.3823069050575527,3,270.0,263.0,275.0,267.0,267.0,268.4,3.97994974842648,6.0,7.0,14.0,6.0,12.0,9.0,3.3466401061363023,6,20.0,27.0,15.0,24.0,24.0,22.0,4.147288270665544,5.0,5.0,5.0,2.0,4.0,4.2,1.16619037896906,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.601761252446184,0.5949119373776908,0.5469667318982387,0.8154761904761905,0.6309523809523809,0.638013698630137,0.09274087561374376,6,0.9655172413793103,0.953448275862069,0.9741379310344828,0.9587628865979381,0.9587628865979381,0.9621258442943477,0.007123355457549229
5,4.369514751434326,0.5449123178926103,0.09444670677185059,0.015402978427950102,10.0,{'C': 10.0},0.8625,0.85,0.775,0.8987341772151899,0.7974683544303798,0.8367405063291139,0.044803510918347444,1,0.9371069182389937,0.9150943396226415,0.9528301886792453,0.9216300940438872,0.9247648902821317,0.9302852861733799,0.013348852173423143,2.0,2.0,2.0,5.0,3.0,2.8,1.16619037896906,5,28.0,28.0,28.0,28.0,28.0,28.0,0.0,67.0,66.0,60.0,66.0,60.0,63.8,3.1240998703626617,1,270.0,263.0,275.0,266.0,267.0,268.2,4.06939798987516,6.0,7.0,13.0,6.0,12.0,8.8,3.059411708155671,8,20.0,27.0,15.0,25.0,24.0,22.2,4.261455150532504,5.0,5.0,5.0,2.0,4.0,4.2,1.16619037896906,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.601761252446184,0.5949119373776908,0.5538160469667319,0.8154761904761905,0.6309523809523809,0.6393835616438357,0.09142719706869579,3,0.9655172413793103,0.953448275862069,0.9741379310344828,0.9570446735395188,0.9587628865979381,0.9617822016826638,0.007316137306284575
6,4.890083932876587,0.6571448133567259,0.0972024917602539,0.011226739201585742,100.0,{'C': 100.0},0.8625,0.85,0.775,0.8987341772151899,0.7974683544303798,0.8367405063291139,0.044803510918347444,1,0.9339622641509434,0.9182389937106918,0.9528301886792453,0.9247648902821317,0.9247648902821317,0.9309122454210288,0.012048984274570494,2.0,2.0,2.0,6.0,3.0,3.0,1.5491933384829668,3,28.0,28.0,28.0,28.0,28.0,28.0,0.0,67.0,66.0,60.0,65.0,60.0,63.6,3.0066592756745814,3,269.0,264.0,275.0,267.0,267.0,268.4,3.6660605559646724,6.0,7.0,13.0,7.0,12.0,9.0,2.898275349237888,6,21.0,26.0,15.0,24.0,24.0,22.0,3.847076812334269,5.0,5.0,5.0,1.0,4.0,4.0,1.5491933384829668,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.601761252446184,0.5949119373776908,0.5538160469667319,0.8799603174603174,0.6309523809523809,0.6522803870406609,0.11647453181078112,2,0.9637931034482758,0.9551724137931035,0.9741379310344828,0.9587628865979381,0.9587628865979381,0.9621258442943477,0.0066036224242486926
7,4.121547079086303,0.042149708713048885,0.08679537773132324,0.002250161837626816,1000.0,{'C': 1000.0},0.8625,0.85,0.775,0.8860759493670886,0.7848101265822784,0.8316772151898734,0.04394046313584841,5,0.9339622641509434,0.9150943396226415,0.9528301886792453,0.9216300940438872,0.9247648902821317,0.9296563553557698,0.013084089612057056,2.0,2.0,2.0,5.0,3.0,2.8,1.16619037896906,5,28.0,28.0,28.0,28.0,28.0,28.0,0.0,67.0,66.0,60.0,65.0,59.0,63.4,3.2619012860600183,5,269.0,263.0,275.0,266.0,267.0,268.0,4.0,6.0,7.0,13.0,7.0,13.0,9.2,3.1240998703626617,5,21.0,27.0,15.0,25.0,24.0,22.4,4.17612260356422,5.0,5.0,5.0,2.0,4.0,4.2,1.16619037896906,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.601761252446184,0.5949119373776908,0.5538160469667319,0.808531746031746,0.6240079365079365,0.6366057838660579,0.08890883079355154,7,0.9637931034482758,0.953448275862069,0.9741379310344828,0.9570446735395188,0.9587628865979381,0.961437374096457,0.007171164472753571
8,4.544673156738281,0.3293194467071102,0.06023349761962891,0.009097319367709628,10000.0,{'C': 10000.0},0.8625,0.85,0.775,0.8987341772151899,0.7974683544303798,0.8367405063291139,0.044803510918347444,1,0.9339622641509434,0.9182389937106918,0.9528301886792453,0.9247648902821317,0.9247648902821317,0.9309122454210288,0.012048984274570494,2.0,2.0,2.0,5.0,3.0,2.8,1.16619037896906,5,28.0,28.0,28.0,28.0,28.0,28.0,0.0,67.0,66.0,60.0,66.0,60.0,63.8,3.1240998703626617,1,269.0,264.0,275.0,267.0,267.0,268.4,3.6660605559646724,6.0,7.0,13.0,6.0,12.0,8.8,3.059411708155671,8,21.0,26.0,15.0,24.0,24.0,22.0,3.847076812334269,5.0,5.0,5.0,2.0,4.0,4.2,1.16619037896906,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.601761252446184,0.5949119373776908,0.5538160469667319,0.8154761904761905,0.6309523809523809,0.6393835616438357,0.09142719706869579,3,0.9637931034482758,0.9551724137931035,0.9741379310344828,0.9587628865979381,0.9587628865979381,0.9621258442943477,0.0066036224242486926
